1,"[3, 7, 16]"
2,"[4, 7, 12, 13, 18, 23]"
3,"[10, 11, 14, 21, 1]"
4,"[16, 2]"
5,"[8, 16]"
6,"[7, 19]"
7,"[17, 19, 21, 1, 2, 6]"
8,"[9, 5]"
9,"[15, 16, 8]"
10,"[11, 12, 16, 17, 3]"
11,"[3, 10]"
12,"[22, 2, 10]"
13,"[14, 17, 19, 2]"
14,"[3, 13]"
15,"[20, 9]"
16,"[1, 4, 5, 9, 10]"
17,"[20, 23, 7, 10, 13]"
18,"[21, 2]"
19,"[6, 7, 13]"
20,"[22, 15, 17]"
21,"[3, 7, 18]"
22,"[12, 20]"
23,"[2, 17]"
